,G18USSRCRU
6840,659
3861,1062
6839,571
3863,752
6843,179
6841,263
7447,88
3005,44
3862,563
23,231
24,495
3007,604
6842,476
27,351
3008,341
29,920
22,795
6844,409
3006,845
25,533
28,702
26,452
2766,716
30,1281
31,784
2767,557
41,125
40,263
42,758
46,350
15,513
47,200
51,647
53,674
1980,147
43,253
2772,1097
45,389
55,188
56,758
52,290
35,438
36,828
3929,221
54,635
49,144
13,511
39,530
3996,301
14,981
48,983
44,880
2770,200
2773,533
50,693
33,513
2771,148
37,53
2768,682
32,921
1981,819
4946,0
34,223
4954,172
3927,180
4953,277
2769,466
38,182
4007,936
57,1017
4005,1895
6979,1726
4006,550
58,553
59,608
64,529
65,193
66,379
67,83
16,528
68,121
62,180
63,95
60,429
61,63
70,222
71,113
69,46
72,168
4962,25
73,120
2774,104
2775,21
75,280
17,276
78,396
85,49
87,358
83,50
90,413
88,168
74,67
18,360
84,34
7002,358
77,750
91,141
79,447
86,80
82,321
2776,437
2934,149
81,1488
76,126
80,316
89,155
19,534
93,576
95,618
94,787
92,400
20,920
97,296
98,206
99,377
7005,319
7006,383
7003,197
7004,358
1972,232
96,1097
103,527
102,500
100,234
101,695
2778,368
2777,531
4509,189
2925,114
105,824
4008,1283
3864,960
2779,702
104,1163
106,785
4612,1172
2781,134
2780,327
2782,293
108,1153
2930,665
21,2055
3577,594
2928,870
112,564
3578,943
2929,409
107,418
3575,550
110,874
109,398
113,604
111,613
114,473
2927,810
2933,605
3579,262
3576,802
2944,913
2877,492
8000,306
8001,235
116,221
115,310
118,601
126,152
119,432
124,136
123,127
117,407
122,94
6380,103
6379,212
125,98
128,123
6378,430
127,86
121,304
6377,264
120,706
6376,67
6382,2702
139,1256
140,1669
138,3192
1012,720
1016,683
1017,184
1014,767
4510,381
6383,182
6381,1660
4512,125
6385,760
6386,1790
6384,3559
1023,413
129,639
4513,316
130,413
1027,953
6387,1691
1025,1044
4009,1626
132,1245
133,1233
142,334
1021,1090
134,350
135,283
1019,437
131,414
137,264
141,1367
1013,841
1018,1183
136,724
1022,2192
1015,2781
1009,505
1024,988
1010,616
1011,508
1026,494
1007,864
1008,439
1020,254
832,493
831,813
7043,65
165,113
152,125
181,50
184,55
186,154
189,127
7055,136
7685,282
7056,51
4712,48
1061,252
7082,139
188,69
187,89
199,69
182,30
200,166
202,61
203,219
201,133
7093,78
198,120
7054,483
7103,24
7092,76
7958,45
183,90
7108,138
7106,8
7119,92
7121,115
7137,210
8037,746
7136,104
8025,557
226,239
230,381
8031,162
7105,174
7120,127
237,84
1077,194
7148,184
7104,258
7149,147
206,130
7150,187
205,224
204,172
244,277
243,224
7157,23
7155,231
7691,349
7736,360
8047,404
7065,465
7156,49
8040,196
8041,164
8667,33
8048,364
8049,232
7066,410
7177,97
8050,744
8002,208
8003,142
1060,137
1028,286
7008,212
8645,690
4575,4
231,164
1071,415
195,128
7081,23
7102,724
7007,394
8038,568
7026,664
7053,548
1078,221
1062,160
1076,318
7021,158
7714,67
8664,272
7064,0
7158,241
7734,64
7019,164
8039,213
8051,34
7107,2
185,76
153,50
7167,747
7052,442
7684,0
8045,228
8810,126
7159,598
7176,81
8789,0
7175,450
7692,1062
7032,2
7693,778
7168,885
7080,495
1082,463
7733,0
8661,38
8811,274
7732,54
8644,542
4576,12
4577,3
8862,1063
8643,954
7735,111
8662,100
8812,430
7888,0
4977,43
8815,185
8816,262
7889,0
4978,0
4979,0
8787,1
8788,0
8777,0
7890,51
8790,0
7965,55
7964,118
7966,184
8817,292
7967,224
8881,631
8819,1161
8818,241
8814,41
154,34
156,56
7044,87
7046,130
157,83
7901,0
7045,105
166,60
7737,215
7386,257
167,101
7057,68
158,97
171,105
169,84
174,39
1073,44
4595,105
7122,65
7070,88
1057,158
172,88
173,233
191,183
1058,239
7694,309
5964,206
7084,352
7085,76
7028,77
150,67
7094,35
151,46
207,49
7096,172
208,334
7110,397
7112,287
7126,117
7354,284
7129,287
227,104
7069,118
7027,178
7127,230
193,301
192,240
7128,108
7020,315
7355,244
7666,73
7131,75
1069,97
7109,186
7097,248
7138,146
232,187
7140,223
7130,217
7083,153
7356,206
7143,191
8882,687
7153,368
8004,621
7160,1007
7713,29
7169,960
7384,427
155,95
1038,44
1081,615
7151,143
170,67
7968,37
1084,544
7375,549
1043,372
168,23
7178,163
7357,108
7141,184
228,79
1087,1103
7142,163
7365,684
7162,519
7034,658
7712,32
7367,204
7695,319
7391,84
8614,183
7139,66
8616,854
7696,258
1085,383
7033,186
1091,379
7152,179
8042,409
1029,586
1052,12
7048,11
7969,32
7170,66
8821,492
1086,356
143,0
1030,236
7697,168
7372,357
7704,10
7179,297
8456,1125
7011,0
4594,36
4589,0
4588,24
8822,234
7023,86
7687,131
7161,537
7029,170
8615,1146
7368,233
1090,552
190,129
180,1
7971,377
4572,54
6388,0
4586,74
7710,147
212,68
8823,868
7366,199
7113,156
1079,436
7385,204
7389,278
6389,64
7333,466
7123,335
1083,88
7702,8
7063,81
7039,435
7703,224
7171,0
7001,3
7715,47
7690,50
8617,261
4571,1
7071,150
7689,0
8704,0
6989,42
8824,0
7035,1006
7337,626
7711,27
7663,0
7067,958
1047,349
7058,787
7632,42
7627,8
4587,93
1046,343
8612,452
1054,421
7709,151
7698,265
1092,65
8021,1093
7009,658
7686,99
7010,791
7086,1199
1064,518
1066,528
7705,0
7075,591
7074,563
213,500
216,564
220,313
7117,842
4592,6
7338,354
7036,874
8020,1445
7087,212
7115,676
1074,700
4570,373
8032,1476
233,595
7661,191
7078,740
7640,1104
7116,447
7118,618
215,474
211,604
210,470
1080,821
239,383
7376,161
1044,1418
7124,587
7360,368
8022,1312
7699,347
4591,192
7133,609
1049,501
241,522
240,429
7707,13
245,575
5965,121
7688,10
7390,565
7344,512
1094,342
1096,978
7392,881
1056,551
7641,1273
7377,432
7335,857
8630,1340
8027,596
1031,834
7012,918
7708,1084
1033,368
1032,654
1034,648
7030,525
229,903
1041,369
7334,620
7100,529
7644,1093
7134,1915
7040,973
7024,429
7031,1259
8632,1589
8453,1200
7378,400
7630,1182
8015,3
7642,401
7645,997
7099,768
7643,791
7042,1088
8631,134
1039,926
7700,891
8457,685
7022,278
148,600
1067,580
7101,793
4987,0
1055,241
1050,158
1088,1014
1097,736
7073,373
7025,1088
242,280
7013,946
1035,805
7038,1276
1040,693
8825,196
8628,980
8024,1166
8613,579
7111,791
7347,20
7132,700
8354,764
7662,0
1093,224
4593,0
7145,370
4590,206
1053,144
8626,1298
7646,28
7339,293
1059,82
7072,285
7164,58
221,387
8627,62
8625,938
7114,703
7088,617
7041,434
7163,210
7667,8
7628,1447
7701,241
1045,450
1036,667
7973,887
214,9
234,869
8619,24
778,397
7629,487
1095,518
1779,266
7144,857
8017,728
7050,1181
1048,128
145,4
7631,194
8618,48
8629,0
235,0
160,102
7037,1059
8459,1589
7706,182
7639,19
2004,0
7902,0
2005,1
4992,286
7903,767
4990,248
8778,9
7904,58
4988,84
7896,1
7897,0
7898,0
7899,263
4989,0
7895,71
7972,0
8865,65
8866,1284
7994,228
8867,6
7995,0
7996,196
7997,1043
7998,0
8868,1485
8869,326
8870,185
8820,0
7970,0
8871,5
