,G18USSRCRU
431,749
449,288
569,562
455,631
2110,605
7724,375
539,545
1301,904
4619,427
568,663
545,827
478,271
588,71
2950,0
2968,433
918,0
4687,174
878,931
903,825
901,927
902,702
7794,947
7796,1754
7795,1451
546,670
4723,518
904,786
905,1233
4722,252
900,906
3001,190
5991,617
4129,969
4120,387
4122,187
3000,51
2999,154
3002,716
2991,65
2951,5
6929,68
1344,1029
441,815
422,2
1345,380
1346,1147
2148,721
599,817
4195,264
424,317
1343,322
2992,82
3899,633
4717,530
3907,850
4689,1113
5986,428
4718,736
4690,764
4719,768
3906,581
4714,1025
4716,469
4715,598
797,455
581,660
895,770
1342,304
5997,466
4117,529
6640,470
1777,372
6892,0
1253,767
8185,1258
8186,2020
513,245
510,616
1254,355
1255,784
514,758
512,1291
522,421
524,619
525,619
526,823
9,791
1322,1080
511,678
2989,310
1839,2
1329,0
582,1239
502,1516
589,593
4194,853
4111,1364
4142,857
4207,756
7194,1004
4206,737
3740,12
423,990
444,205
3898,357
4688,472
445,2
4686,215
7633,14
6891,64
4166,969
4165,1348
540,1747
1295,1043
4177,573
4198,1263
1336,598
527,1505
2970,1253
2990,407
2143,668
3908,1550
8705,1689
792,767
4710,15
888,56
889,97
571,189
868,76
6637,961
1294,324
793,875
887,366
1338,98
4724,104
908,14
6629,65
597,267
6625,41
907,133
1266,13
1265,28
1268,9
1340,13
1278,9
1279,19
1269,13
1280,22
1281,2
1267,10
1270,15
1293,9
458,12
6630,3
6626,63
2973,38
3003,7
4159,22
530,29
1283,4
541,10
531,6
543,35
1282,16
2972,0
1306,14
557,12
1307,23
863,10
4186,139
4178,222
4180,34
572,34
556,39
573,12
1308,33
4646,63
4187,70
1313,105
4188,70
1314,84
4192,26
587,15
1327,19
824,12
1328,39
1312,83
1315,33
1326,42
1325,36
6636,37
4193,78
4199,28
4202,48
4203,38
4134,4
3951,4
6639,33
419,9
5990,0
2977,352
5995,173
494,79
493,154
520,365
6622,73
6623,160
4151,93
4645,720
855,0
872,8
4644,6
4642,179
4643,0
798,34
2963,0
867,0
1997,0
3949,0
1998,0
1999,1
3950,7
4137,305
4113,124
5988,222
5979,277
5993,567
4141,413
5989,295
4179,183
5987,636
5984,978
2983,239
2976,5
2975,4
3952,0
786,663
5996,474
5975,296
1284,344
5998,465
5976,94
788,682
1285,585
1286,307
1287,62
1289,455
1288,149
1335,749
1259,786
1258,370
1261,418
1260,695
2135,955
2988,293
4140,306
3004,353
4143,516
7741,603
2141,577
1292,738
2140,874
856,623
1264,234
1291,623
893,285
7721,328
4145,54
2959,1
4150,43
5999,259
516,378
2957,14
2964,85
2958,206
2961,82
4680,36
2960,1
593,2060
4627,5
802,232
420,272
437,75
5981,53
5974,327
6620,259
5973,143
436,285
2974,104
460,299
2120,96
2119,191
1231,242
2121,105
2123,54
1232,149
2114,44
2122,86
4112,22
2126,27
438,77
2000,0
595,799
1334,921
596,561
4637,19
4201,120
4200,26
4128,210
1243,144
1249,152
1250,27
4638,171
471,676
2971,40
4711,434
6624,686
3742,944
4620,4
6627,273
5972,194
5982,48
4115,107
475,244
4116,12
4118,213
2954,161
4131,242
839,54
497,26
503,73
505,283
506,82
6895,17
850,104
3741,660
565,161
564,181
529,73
1320,264
528,191
1296,87
579,336
906,192
795,1
886,84
875,7
1337,5
1230,17
4709,17
4673,1
4674,1
799,53
890,336
796,232
1297,77
4168,28
1300,10
4167,69
542,9
862,10
860,16
4170,49
4169,20
4171,27
555,15
2966,10
2978,0
5994,502
6001,0
6635,510
4161,39
2987,20
4163,202
570,120
544,98
534,56
4172,24
4156,120
6921,147
876,111
533,214
4181,76
4153,76
518,129
559,120
558,201
1298,75
4158,13
4152,12
560,151
561,246
1309,59
552,187
4641,77
4640,101
574,635
517,173
553,163
554,35
800,82
1305,21
801,55
791,149
841,51
504,11
4647,13
4173,0
838,28
871,0
4119,76
840,9
2953,3
842,134
6894,12
849,372
836,3
4672,2
837,76
834,16
7607,2
835,1
7606,41
4623,0
861,0
2967,1
2994,14
4648,28
4162,39
4155,122
532,84
4639,68
869,0
877,3
848,1
790,1
6893,21
2001,0
3954,0
2002,0
2003,0
6988,0
4154,130
870,484
4204,490
2982,647
8701,560
5978,262
6638,389
7728,271
8184,44
4668,86
4651,384
4164,299
439,303
873,290
8700,321
440,322
4174,204
6000,3
8703,1006
8514,347
2995,744
4205,109
5977,977
8702,576
2996,117
2981,207
4189,173
2979,0
7729,165
7727,10
4667,162
4666,58
421,150
4650,6
4160,94
2980,8
2997,2
598,108
3955,0
3956,0
3953,0
3957,0
462,588
2115,970
575,451
576,7
2116,612
461,533
2118,586
2117,259
8706,548
474,179
1235,611
1244,352
4678,95
4679,74
4676,199
1782,30
1233,195
472,48
1234,109
1245,420
473,399
4135,367
482,390
1246,436
2130,417
7647,616
2127,830
464,913
845,160
2132,192
7635,439
7793,355
892,232
7634,114
843,777
5983,208
2134,0
5980,627
2131,82
7636,337
2133,119
7792,31
846,31
7797,3
495,108
2955,971
844,210
4649,7
7740,0
7739,4
4671,107
4669,8
1236,192
4677,34
7648,10
1780,5
1781,15
4670,36
4675,9
7738,95
874,38
847,0
3958,381
931,242
3748,276
602,680
3747,553
3749,118
603,102
3745,50
3746,106
604,65
605,420
607,419
606,1364
608,477
2149,391
2151,153
609,234
2150,345
610,124
611,150
2152,165
626,1413
4221,681
4218,1857
7205,1533
7206,1136
7887,1142
7235,1394
7214,1398
7204,626
4222,674
7215,859
4231,624
627,849
7216,800
612,30
7237,972
8194,1097
8841,539
8188,1584
8190,713
629,1811
4226,1264
630,1196
4224,1369
7219,1017
7242,1494
8609,1179
8191,196
8610,552
8187,1467
7196,1629
7195,939
7241,1665
7603,1083
7605,1461
7604,1672
7654,2748
7891,335
4984,72
4983,4
7894,1043
7978,719
7977,81
7976,92
8840,1145
7979,773
8193,1238
7980,212
7981,341
8842,55
7982,790
7983,805
7984,887
3895,433
2154,451
613,753
618,456
619,768
616,1401
4211,956
4213,673
4212,843
617,689
614,1257
620,850
3750,762
615,578
621,967
4210,1070
4209,993
7198,2059
7655,627
6897,0
6641,1788
7199,1007
7232,1010
6898,1047
4227,604
7228,644
7233,1244
7234,1223
7240,927
7653,592
7213,1261
8611,975
7656,709
6986,682
7985,415
7986,763
7649,0
7650,0
7651,0
6896,0
7218,1446
7217,1400
4208,1918
4217,1003
4216,1372
4230,940
633,1258
632,1098
625,1039
628,826
4214,1169
4215,881
623,570
7203,763
7202,622
7201,538
7220,352
7239,419
4229,261
7905,899
7652,105
7238,1154
6900,72
7657,136
624,1173
3897,1477
622,943
7207,1599
7200,1607
7208,845
7209,952
7212,1308
6998,280
7987,833
3896,0
6899,0
4219,1860
4220,666
7224,1702
7197,2536
7225,182
2153,710
4223,501
7227,410
7226,230
4225,463
631,419
4228,703
1350,762
1347,45
1349,92
7236,114
8608,0
8189,2122
8195,992
7658,107
