CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"2510017",5818,1074,386,47
"2510018",5819,1482,445,60
"2510019",5820,2658,636,135
"2510020",5821,265,204,27
"2510021",5822,735,135,29
"2510022",5823,1403,525,95
"2510023",5824,977,169,50
"2510024",5825,571,119,36
"2510025",5826,519,161,28
"2510026",5827,676,98,34
"2510027",5828,1064,169,57
"2510028",5829,860,181,42
"2510029",5830,464,90,26
"2510030",5831,535,77,18
"2510031",5832,563,108,35
"2510032",5833,1321,301,65
"2510033",5834,502,96,37
"2510034",5835,824,271,59
"2510035",5836,1874,367,67
"2510036",5837,250,171,19
"2530101",5838,507,101,25
"2530102",5839,44,32,2
"2530103",5840,164,55,6
"2530201",5841,620,189,20
"2530202",5842,106,28,4
"2530203",5843,136,16,6
"2530301",5844,128,12,5
"2530302",5845,488,57,23
"2530303",5846,561,71,35
"2530401",5847,637,86,45
"2530402",5848,519,141,21
"2550001",5849,454,305,32
"2550002",5850,97,11,2
"2550003",5851,92,6,9
"2550004",5852,349,159,29
"2550005",5853,238,104,17
"2550006",5854,163,6,9
"2550007",5855,342,33,9
"2550008",5856,88,31,6
"2550009",5857,112,21,3
"2550010",5858,163,11,4
"2550011",5859,234,80,14
"2550012",5860,264,97,15
"2550013",5861,29,2,1
"2550014",5862,146,215,15
"2550015",5863,29,14,2
"2570001",5864,875,438,28
"2570002",5865,523,128,21
"2570003",5866,1775,698,75
"2570004",5867,1863,569,52
"2570005",5868,294,674,9
"2570006",5869,910,181,39
"2570007",5870,1703,1115,112
"2570008",5871,560,353,23
"2570009",5872,725,178,30
"2570010",5873,1121,178,34
"2570011",5874,787,285,50
"2570012",5875,772,128,36
"2570013",5876,975,657,51
"2570014",5877,1183,669,66
"2570015",5878,1144,188,42
"2570016",5879,1227,209,52
"2570017",5880,938,130,18
"2570018",5881,971,198,36
"2570019",5882,989,329,41
"2570020",5883,583,160,20
"2570021",5884,945,174,33
"2570022",5885,553,89,30
"2570023",5886,455,119,19
"2570024",5887,555,189,22
"2570025",5888,289,155,12
"2570026",5889,134,456,18
"2570027",5890,1479,577,57
"2570028",5891,647,133,19
"2570029",5892,828,898,53
"2570030",5893,731,166,20
"2591010",5894,1161,361,86
"2591110",5895,2210,471,104
"2592020",5896,1144,165,54
"2592080",5897,1930,366,65
"2592120",5898,2298,494,131
"2593030",5899,1370,223,86
"2593040",5900,1770,446,97
"2593060",5901,342,61,23
"2594050",5902,1201,373,77
"2594070",5903,184,39,10
"2594100",5904,1686,388,115
"2610001",5905,27,12,1
"2610002",5906,21,19,2
"2610003",5907,6,11,0
"2610004",5908,23,5,1
"2610005",5909,4,3,2
"2610006",5910,8,6,0
"2630101",5911,89,12,5
"2630201",5912,18,1,1
