CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"0010001",1,660,216,34
"0010002",2,1049,147,36
"0010003",3,556,92,17
"0010004",4,719,98,29
"0010005",5,178,9,4
"0010006",6,260,366,21
"0010007",7,87,434,13
"0010008",8,47,97,3
"0010009",9,541,135,24
"0010010",10,215,23,20
"0010011",11,477,141,20
"0010013",12,601,228,34
"0010015",13,477,48,14
"0010016",14,334,83,26
"0010017",15,324,92,22
"0010018",16,910,165,34
"0010019",17,789,219,28
"0010020",18,390,125,33
"0010021",19,826,122,31
"0010022",20,525,90,11
"0010023",21,681,71,26
"0010024",22,434,36,17
"0030001",23,697,183,22
"0030002",24,1260,169,43
"0030003",25,789,165,28
"0030004",26,545,162,17
"0050001",27,131,82,6
"0050002",28,243,741,17
"0050003",29,743,155,24
"0050004",30,349,258,12
"0050005",31,520,365,26
"0050006",32,198,38,6
"0050007",33,618,71,14
"0050008A",34,396,45,12
"0050008B",35,255,26,8
"0050009",36,148,38,6
"0050010A",37,219,195,9
"0050010B",38,27,24,1
"0050011",39,1073,102,23
"0050012",40,389,75,9
"0050013",41,193,131,11
"0050014",42,760,278,26
"0050015",43,295,57,8
"0050016",44,438,444,21
"0050017",45,810,97,24
"0050018",46,230,98,6
"0050019",47,653,250,18
"0050020",48,135,896,22
"0050021",49,508,147,18
"0050022",50,521,77,13
"0050023",51,297,45,6
"0050024",52,980,239,38
"0050025",53,940,197,30
"0050026",54,863,108,17
"0050027",55,193,22,8
"0050028A",56,473,107,20
"0050028B",57,54,13,2
"0050029",58,676,117,27
"0050030",59,498,40,18
"0050031",60,147,46,8
"0050032",61,52,7,0
"0050033",62,662,45,14
"0050034",63,949,269,33
"0050035",64,833,202,21
"0050036",65,5,0,0
"0050037",66,222,42,5
"0050038",67,170,32,5
"0050039",68,186,78,7
"0050040",69,283,147,14
"005011B",70,464,87,17
"005017B",71,180,16,2
"0070001",72,927,207,39
"0070002",73,1014,453,56
"0070003",74,1959,495,76
"0070004",75,1749,450,80
"007001A",76,518,141,49
"007004A",77,553,125,19
"0090001",78,591,66,17
"0090002",79,511,48,21
"0090003",80,184,28,6
"0090004",81,366,12,9
"0090005",82,79,6,5
"0090006",83,520,66,22
"0090007",84,116,13,1
"0090008",85,174,26,11
"0090009",86,89,10,3
"0090010",87,424,60,13
"0090011",88,63,9,2
"0110101",89,213,11,5
"0110201",90,109,17,7
"0110202",91,40,6,4
"0110301",92,162,6,9
"0110303",93,27,7,1
"0110401",94,119,5,3
"0110402",95,92,7,8
"0110404",96,17,0,2
"0130001",97,279,83,12
"0130002",98,279,198,21
"0130003",99,384,209,29
"0130004",100,45,15,1
"0130005",101,383,298,24
"0130006",102,50,2,1
"0130007",103,407,219,29
"0130008",104,173,81,7
"0130009",105,63,10,5
"0130010",106,355,193,28
"0130011",107,35,7,1
"0130012",108,359,202,32
"0130013",109,734,325,38
"0130014",110,134,48,6
"0130015",111,454,326,36
"0130016",112,82,47,2
"0130017",113,311,477,26
"0130018",114,416,242,24
"0130019",115,144,48,12
"0130020",116,1514,361,64
"0130021",117,117,21,3
"0130022",118,313,74,14
"0130023",119,148,116,20
"0130024",120,534,263,33
"0150101",121,572,124,21
"0150102",122,612,148,23
"0150103",123,772,106,32
"0150104",124,372,81,20
"0150205",125,890,196,32
"0150206",126,293,49,9
"0150207",127,209,24,4
"0150208",128,364,55,14
"0150209",129,312,78,8
"0150210",130,373,59,12
"0150211",131,186,29,8
"0150312",132,334,34,15
"0150313",133,229,242,12
"0150314",134,1061,275,68
"0150415",135,515,184,23
"0150416",136,497,135,33
"0150417",137,228,97,10
"0150418",138,680,114,25
"0170001",139,363,102,15
"0170002",140,526,74,9
"0170003",141,204,74,3
"0170004A",142,100,82,7
"0170004B",143,6,4,1
"0190101",144,798,168,50
"0190102",145,1245,266,78
"0190203",146,914,266,84
"0190204",147,687,206,48
"0190305",148,1104,221,77
"0190306",149,755,117,48
"0190407",150,1132,218,70
"0190408",151,134,50,5
"0190409",152,309,92,28
"0190410",153,271,60,21
"0211001",154,1167,686,110
"0211002",155,682,622,82
"0211003",156,1110,684,86
"0211004",157,588,528,77
"0211022",158,1022,632,76
"0212005",159,891,610,67
"0212006",160,546,284,44
"0212007",161,919,312,65
"0212008",162,407,171,29
"0212009",163,433,252,53
"0212010",164,525,231,53
"0212011",165,876,535,89
"0213012",166,392,128,35
"0213013",167,600,258,42
"0213014",168,603,562,62
"0213015",169,495,693,52
"0213016",170,812,615,71
"0214017",171,618,781,70
"0214018",172,273,121,18
"0214019",173,802,580,83
"0214020",174,935,972,99
"0214021",175,478,231,62
"0230001",176,285,37,23
"0230002",177,228,31,9
"0230003",178,205,42,7
"0230004",179,292,36,9
"0250001",180,616,348,29
"0250002",181,150,12,4
"0250003",182,433,255,24
"0250004",183,134,34,7
"0250005",184,126,41,2
"0250006",185,385,195,18
"0250008",186,95,24,3
"0250009",187,104,218,7
"0250010",188,241,273,12
"0250011",189,100,36,3
"0250012",190,116,47,7
"0250013",191,429,197,30
"0250014",192,84,50,1
"0250016",193,322,173,24
"0250017",194,279,216,8
"0250018",195,697,221,36
"0250019",196,79,140,9
"0270101",197,2757,855,140
"0270102",198,1265,433,68
"0270103",199,1674,704,110
"0270104",200,3216,921,163
"0270105",201,721,117,19
"0270106",202,692,1315,77
"0270107",203,180,81,12
"0270108",204,745,133,42
"0270109",205,382,552,37
"0270110",206,192,150,15
"0270111",207,1709,913,105
"0270113",208,126,33,6
"0270201",209,791,675,44
"0270202",210,1871,1082,96
"0270203",211,3564,752,165
"0270204",212,430,519,20
"0270205",213,684,1205,64
"0270206",214,343,506,31
"0270207",215,463,873,57
"0270208",216,1014,1887,96
"0270209",217,1806,1790,114
"0270210",218,1116,1559,100
"0270301",219,1576,291,81
"0270302",220,1274,755,69
"0270303",221,1257,950,102
"0270304",222,322,105,8
"0270305",223,1116,429,47
"0270306",224,368,497,31
"0270307",225,297,723,31
"0270308",226,446,439,42
"0270309",227,401,48,11
"0270310",228,263,36,6
"0270311",229,1357,253,46
"0270312",230,801,155,39
"0270313",231,1195,405,59
"0270314",232,715,521,58
"0270315",233,2265,1046,162
"0270317",234,2826,1178,136
"0270401",235,501,149,32
"0270402",236,1005,416,36
"0270404",237,653,1188,57
"0270405",238,511,1284,63
"0270406",239,512,512,36
"0270408",240,918,1545,65
"0270409",241,455,423,40
"0270410",242,257,438,27
"0270412",243,562,1607,70
"0270413",244,857,1793,81
"0291001",245,99,298,6
"0291002",246,130,213,10
"0291003",247,163,773,45
"0291004",248,61,271,10
"0291005",249,61,214,15
"0291006",250,183,664,19
"0291007",251,138,449,11
"0291008",252,208,789,20
"0291009",253,304,441,36
"0291010",254,59,241,11
"0291011",255,52,129,4
"0291012",256,265,538,32
"0291013",257,163,750,26
"0291014",258,72,371,7
"0291015",259,87,364,13
"0291016",260,84,326,13
"0291017",261,30,49,5
"0291018",262,189,631,18
"0291019",263,64,230,12
"0291020",264,236,684,40
"0291021",265,158,474,17
"0291022",266,85,276,8
"0291023",267,147,685,20
"0291024",268,528,860,59
"0291025",269,28,145,5
"0291026",270,83,360,13
"0291027",271,46,65,5
"0291028",272,98,270,15
"0291029",273,159,565,19
"0291030A",274,7,7,3
"0291030B",275,0,0,0
"0291031",276,106,415,13
"0291032",277,133,660,23
"0291033",278,221,431,34
"0291034",279,710,725,84
"0291035",280,104,90,16
"0291036",281,590,844,64
"0291037",282,276,611,17
"0291038",283,425,785,46
"0291039",284,183,628,29
"0291040",285,212,725,28
"0291041",286,149,535,25
"0291042",287,87,330,10
"0291043",288,193,394,18
"0291044",289,199,662,26
"0291045",290,303,953,36
"0291046",291,175,621,23
"0291047",292,149,456,18
"0291048",293,213,600,30
"0291049",294,256,667,24
"0291050",295,190,392,13
"0291051",296,285,513,23
"0291052",297,238,526,19
"0291053",298,25,64,2
"0291054",299,243,665,32
"0291055",300,360,613,52
"0291056",301,408,722,32
"0291057",302,413,415,43
"0291058",303,471,496,38
"0291059",304,54,76,7
"0291060",305,205,784,31
"0291061",306,166,650,33
"0291062",307,31,28,2
"0291063",308,374,351,22
"0291064A",309,236,244,26
"0291064B",310,0,0,0
"0291065",311,438,478,27
"0291066",312,102,177,9
"0291067",313,740,508,64
"0291068",314,223,274,33
"0291069",315,150,128,10
"0291070",316,142,263,17
"0291071",317,325,517,30
"0291072",318,221,599,34
"0291073",319,774,969,80
"0291074",320,2,4,3
"0291075",321,178,517,18
"0291076",322,452,750,58
"0291077",323,141,513,21
"0291078",324,32,159,9
"0291079",325,395,695,55
"0291080",326,463,1243,72
"0291081",327,613,228,25
"0291082",328,662,1202,80
"0291083",329,589,831,71
"0291084",330,238,472,26
"0291085",331,177,435,23
"0291086",332,365,685,35
"0291087",333,162,398,15
"0291088",334,70,264,6
"0291089",335,287,342,31
"0291090",336,0,0,0
"0291091",337,279,639,39
"0291092",338,77,233,6
"0291093",339,183,233,31
"0291094",340,233,494,35
"0291095",341,30,45,9
"0291096",342,2,7,0
"0291097",343,82,225,11
"0291098",344,54,258,15
"0291099",345,499,882,47
"0291100",346,481,790,42
"0291101",347,0,0,0
"0291102",348,216,173,34
"0291103",349,122,100,12
"0291104",350,666,949,75
"0291105",351,83,141,14
"0291106",352,0,0,0
"0291107",353,454,617,37
"0291108",354,1183,1255,119
"0291109",355,2,1,0
"0291110",356,462,692,47
"0291111",357,996,1330,101
"0291112",358,563,1240,80
"0291113",359,544,794,52
"0291114",360,0,0,0
"0291115",361,41,44,5
"0291116",362,289,279,21
"0291117",363,54,95,5
"0291118",364,591,609,54
"0291119",365,11,34,1
"0291120",366,7,30,1
"0291121",367,704,803,82
"0291122",368,1326,1314,89
"0291123",369,115,126,7
"0291124",370,97,188,11
"0291125",371,556,596,55
"0291126",372,0,0,0
"0291127",373,49,164,5
"0291128",374,202,326,30
"0291129",375,217,298,26
"0291130",376,0,0,0
"0291131",377,0,0,0
"0291132",378,0,2,0
"0291133",379,1,0,0
"0291134",380,0,0,0
"0291135",381,0,0,0
"0291136",382,62,72,2
"0291137",383,0,0,0
"0291138",384,59,147,12
"0291139",385,114,248,16
"0291140",386,204,328,23
"0291141",387,315,453,47
"0291142",388,209,469,30
"0291143",389,673,709,54
"0291144",390,1325,678,53
"0291145",391,79,46,4
"0291146",392,42,32,3
"0291147",393,403,708,56
"0291148",394,60,112,6
"0291149",395,342,607,30
"0291150",396,386,575,35
"0291151",397,315,359,34
"0292001",398,36,196,12
"0292002",399,71,354,10
"0292003",400,91,547,25
"0292004",401,158,725,22
"0292005",402,102,337,9
"0292006",403,0,5,0
"0292007",404,117,471,15
"0292008",405,63,281,10
"0292009",406,236,555,33
"0292010",407,280,368,50
"0292011",408,123,538,29
"0292012",409,66,393,14
"0292013",410,123,367,20
"0292014",411,127,374,15
"0292015",412,83,461,21
"0292016",413,47,321,5
"0292017",414,51,273,9
"0292018",415,117,402,16
"0292019",416,79,441,19
"0292020",417,105,685,17
"0292021",418,177,709,23
"0292022",419,98,405,11
"0292023",420,275,935,44
"0292024",421,184,510,28
"0292025",422,264,810,37
"0292026",423,342,705,49
"0292027",424,213,478,25
"0292028",425,426,774,55
"0292029",426,82,332,8
"0292030",427,91,395,13
"0292031",428,83,407,10
"0292032",429,44,150,7
"0292033",430,49,159,7
"0292034",431,50,213,9
"0292035",432,227,594,40
"0292036",433,461,605,46
"0292037",434,436,382,37
"0292038",435,338,457,34
"0292039A",436,145,522,29
"0292039B",437,0,0,0
"0292040",438,315,737,46
"0292041",439,323,886,30
"0292042",440,117,453,18
"0292043",441,140,525,23
"0292044",442,192,573,21
"0292045",443,303,849,33
"0292046",444,354,822,38
"0292047",445,265,596,35
"0292048",446,125,507,20
"0292049",447,364,819,40
"0292050",448,271,573,34
"0292051",449,87,166,11
"0292052",450,79,295,14
"0292053",451,108,389,18
"0292054",452,248,831,39
"0292055",453,312,917,47
"0292056",454,153,433,23
"0292057",455,226,607,26
"0292058",456,262,605,40
"0292059",457,239,637,36
"0292060",458,173,434,27
"0292061",459,226,308,23
"0292062",460,196,355,33
"0292063",461,727,374,53
"0292064",462,393,683,66
"0292065",463,674,1247,75
"0292066",464,1101,1011,102
"0292067",465,32,127,5
"0292068",466,1020,1140,102
"0292069",467,457,851,53
"0292070",468,112,555,27
"0292071",469,41,187,7
"0292072",470,677,894,72
"0292073",471,143,362,18
"0292074",472,67,230,6
"0292075",473,50,269,13
"0292076",474,559,652,75
"0292077",475,587,651,70
"0292078",476,389,680,69
"0292079",477,28,174,7
"0292080",478,173,395,20
"0292081",479,128,264,21
"0292082",480,202,438,24
"0292083",481,94,289,17
"0292084",482,1177,825,97
"0292085",483,170,437,35
"0292086",484,747,912,70
"0292087",485,539,476,53
"0292088",486,723,1126,96
"0292089",487,32,116,5
"0292090",488,231,548,21
"0292091",489,377,870,48
"0292092",490,92,115,12
"0292093",491,202,296,22
"0292094",492,86,36,1
"0292095",493,830,440,59
"0292096",494,287,666,35
"0292097",495,412,731,54
"0292098",496,201,359,36
"0292099",497,415,440,40
"0292100",498,198,357,22
"0292101",499,443,313,39
"0292102",500,621,740,68
"0292103",501,13,87,1
"0292104",502,13,83,5
"0292105",503,40,175,1
"0292106",504,75,141,10
"0292107",505,543,779,60
"0292108",506,370,308,32
"0292109",507,0,3,0
"0292110",508,245,328,31
"0292111",509,184,321,16
"0292112",510,394,494,37
"0292113",511,12,20,2
"0292114",512,329,622,49
"0292115",513,1205,1019,91
"0292116",514,0,2,0
"0292117",515,45,192,6
"0292118",516,1,12,0
"0292119",517,66,149,12
"0292120",518,235,272,26
"0292121",519,95,123,8
"0292122",520,156,501,24
"0292123",521,559,467,54
"0292124",522,198,214,9
"0292125",523,328,393,29
"0292126",524,238,377,24
"0292127",525,602,720,67
"0292128",526,143,589,27
"0292129",527,0,2,1
"0292130",528,420,628,56
"0292131",529,65,111,8
"0292132",530,0,1,0
"0292133",531,85,94,7
"0292134",532,160,348,24
"0292135",533,78,193,11
"0292136",534,949,1057,90
"0292137",535,206,321,22
"0292138",536,188,261,30
"0292139",537,469,513,51
"0292140",538,225,449,29
"0292141",539,298,394,47
"0292142",540,66,167,14
"0292143",541,505,515,48
"0292144",542,360,623,46
"0292145",543,91,109,7
"0292146",544,11,24,0
"0292147",545,85,133,10
"0292148",546,654,1211,94
"0292149",547,252,545,40
"0292150",548,0,3,0
"0292151",549,3,6,0
"0292152",550,57,189,14
"0292153",551,50,98,11
"0292154",552,912,1064,97
"0292155",553,1,0,0
"0292156",554,172,386,21
"0292157",555,0,0,0
"0292158",556,0,0,0
"0292159",557,43,58,3
"0292160",558,0,1,0
"0293001",559,1081,717,72
"0293002",560,649,613,58
"0293003",561,24,16,4
"0293004",562,0,1,0
"0293005",563,982,392,49
"0293006",564,391,289,26
"0293007",565,834,660,63
"0293008",566,48,12,2
"0293009",567,9,2,0
"0293010",568,103,163,7
"0293011",569,386,280,23
"0293012",570,475,156,16
"0293013",571,483,554,54
"0293014",572,155,155,13
"0293015",573,100,100,9
"0293016",574,69,54,5
"0293017",575,1186,372,61
"0293018",576,796,422,44
"0293019",577,116,189,20
"0293020",578,964,752,70
"0293021",579,1326,389,48
"0293022",580,605,430,45
"0293023",581,572,738,67
"0293024",582,0,0,0
"0293025",583,706,433,30
"0293026",584,684,343,36
"0293027",585,586,345,43
"0293028",586,592,464,68
"0293029",587,346,360,36
"0293030",588,976,473,34
"0293031",589,6,9,0
"0293032",590,398,652,47
"0293033",591,939,389,37
"0293034",592,1479,309,57
"0293035",593,225,242,15
"0293036",594,760,1170,85
"0293037",595,726,810,93
"0293038",596,411,340,34
"0293039",597,1490,743,127
"0293040",598,637,572,59
"0293041",599,209,138,15
"0293042",600,827,462,25
"0293043",601,1124,466,69
"0293044",602,507,383,34
"0293045",603,703,296,28
"0293046",604,564,383,32
"0293047",605,701,518,46
"0293048",606,579,448,38
"0293049",607,935,502,55
"0293050",608,421,256,29
"0293051",609,151,87,17
"0293052",610,1522,1047,85
"0293053",611,718,407,27
"0293054",612,417,517,32
"0293055",613,1344,382,89
"0293056",614,375,582,44
"0293057",615,220,146,10
"0293058",616,676,940,77
"0293059",617,538,390,40
"0293060",618,563,528,62
"0293061",619,459,522,51
"0293062",620,13,13,0
"0293063",621,612,554,52
"0293064",622,131,135,14
"0293065",623,9,25,1
"0293066",624,640,524,52
"0293067",625,558,419,55
"0293068",626,375,781,59
"0293069",627,1086,896,63
"0293070",628,1009,669,48
"0293071",629,619,731,63
"0293072",630,1357,805,88
"0293073",631,513,448,26
"0293074",632,965,665,67
"0293075",633,1503,565,70
"0293076",634,657,298,26
"0293077",635,919,643,68
"0293078",636,1020,681,86
"0293079",637,1257,730,56
"0293080",638,399,275,28
"0293081",639,721,591,42
"0293082",640,687,623,56
"0293083",641,540,371,57
"0293084",642,942,768,91
"0293085",643,412,322,34
"0293086A",644,655,473,47
"0293086B",645,0,0,0
"0293087",646,537,340,48
"0293088",647,1184,712,62
"0293089",648,1964,723,112
"0293090",649,1017,712,94
"0293091",650,467,116,16
"0293092",651,1351,481,82
"0293093",652,1729,931,100
"0293094",653,1312,703,49
"0293095",654,484,782,53
"0293096",655,1261,742,94
"0293097",656,2,0,2
"0293098",657,436,325,44
"0293099",658,1070,821,78
"0293100",659,833,791,65
"0293101",660,870,623,67
"0293102",661,1222,669,70
"0293103",662,161,186,8
"0293104",663,965,623,85
"0293105",664,906,768,86
"0293106A",665,688,339,56
"0293106B",666,0,0,0
"0293107",667,322,494,44
"0293108",668,610,330,53
"0293109",669,607,839,67
"0293110",670,834,798,73
"0293111",671,0,2,0
"0293112",672,293,447,28
"0293113",673,170,320,33
"0293114",674,1060,408,67
"0293115",675,845,448,28
"0293116",676,416,455,47
"0293117",677,1174,732,76
"0293118",678,294,260,23
"0293119",679,1073,971,94
"0293120",680,881,850,82
"0293121",681,1362,1005,92
"0293122",682,733,552,60
"0293123",683,205,103,17
"0293124",684,1033,715,52
"0293125A",685,1263,679,72
"0293125B",686,3,1,0
"0293126",687,637,334,44
"0293127",688,868,961,87
"0293128",689,23,21,4
"0293129",690,750,950,98
"0293130",691,849,336,36
"0293131",692,0,3,0
"0293132",693,224,396,35
"0293133",694,0,0,0
"0293134",695,443,983,59
"0293135",696,237,265,23
"0293136",697,151,152,12
"0293137",698,1378,981,90
"0293138",699,31,5,1
"0293139",700,324,414,39
"0293140",701,82,136,16
"0293141",702,298,403,39
"0293142",703,62,105,6
"0293143",704,425,430,31
"0293144",705,64,71,6
"0293145",706,1072,689,52
"0293146",707,775,997,90
"0293147",708,688,733,52
"0293148",709,455,264,29
"0293149",710,291,1232,47
"0293150",711,9,7,0
"0293151",712,1015,726,48
"0293152",713,257,474,53
"0293153",714,487,396,33
"0293154",715,698,359,45
"0293155",716,955,582,54
"0293156",717,10,7,0
"0293157",718,954,678,72
"0293158",719,29,14,1
"0293159",720,416,553,51
"0293160",721,522,338,39
"0293161",722,540,719,53
"0293162",723,286,335,45
"0293163",724,905,569,70
"0293164",725,762,377,45
"0293165",726,1244,810,116
"0293166",727,137,161,19
"0293167",728,4,2,0
"0293168",729,84,85,7
"0293169",730,41,27,7
"0293170",731,0,0,0
"0293171",732,0,1,0
"0293172",733,104,158,15
"0293173",734,1162,791,70
"0293174",735,1706,850,92
"0293175",736,172,200,18
"0293176",737,20,17,1
"0293177",738,0,0,0
"0293178",739,0,0,0
"0293179",740,2,0,0
"0293180",741,298,327,30
"0293181",742,816,417,54
"0293182",743,280,212,22
"0293183",744,8,1,1
"0293184",745,60,39,5
"0293185",746,130,100,10
"0293186",747,1,0,0
"0293187",748,0,0,0
"0293188",749,0,0,0
"0293189",750,283,312,18
"0293190",751,108,108,10
"0293191",752,81,42,6
"0293192",753,0,0,0
"0293193",754,78,43,2
"0293194",755,1315,624,81
"0293195",756,277,815,36
"0293196",757,8,2,0
"0293197",758,0,0,0
"0293198",759,215,173,14
"0293199A",760,1159,623,48
"0293199B",761,0,0,0
"0293200",762,0,0,0
"0293201",763,1540,749,81
"0293202",764,344,212,21
"0293203",765,191,91,21
"0293204",766,0,0,0
"0293205",767,0,0,0
"0293206A",768,9,49,2
"0293206B",769,0,0,0
"0293206C",770,0,0,0
"0293207",771,1,3,0
"0293208",772,15,24,1
"0293209",773,376,180,23
"0293210",774,605,438,30
"0294001",775,482,800,59
"0294002",776,49,256,5
"0294003",777,70,339,12
"0294004",778,126,275,9
"0294005",779,149,586,25
"0294006",780,56,210,13
"0294007A",781,195,158,14
"0294007B",782,0,0,0
"0294007C",783,0,0,0
"0294007D",784,0,0,0
"0294007E",785,0,0,0
"0294008",786,207,205,19
"0294009",787,53,237,9
"0294010",788,37,326,6
"0294011",789,48,388,10
"0294012",790,40,205,8
"0294013",791,85,281,15
"0294014",792,35,124,2
"0294015",793,153,605,30
"0294016",794,230,767,40
"0294017",795,239,825,50
"0294018",796,207,438,32
"0294019",797,279,652,39
"0294020",798,189,332,22
"0294021",799,215,289,19
"0294022",800,28,26,2
"0294023",801,429,606,42
"0294024",802,395,743,55
"0294025",803,162,323,17
"0294026",804,344,948,61
"0294027",805,216,479,27
"0294028",806,282,808,32
"0294029",807,134,657,22
"0294030",808,11,117,2
"0294031",809,186,479,15
"0294032",810,274,491,26
"0294033",811,482,858,48
"0294034",812,260,467,40
"0294035",813,5,14,0
"0294036",814,221,883,49
"0294037",815,70,486,12
"0294038",816,767,900,86
"0294039",817,36,429,12
"0294040",818,79,387,13
"0294041",819,101,626,24
"0294042",820,21,25,1
"0294043",821,500,809,56
"0294044",822,216,347,30
"0294045",823,421,634,50
"0294046",824,807,576,66
"0294047",825,371,670,34
"0294048",826,151,521,20
"0294049",827,315,586,39
"0294050",828,548,325,39
"0294051",829,650,425,63
"0294052",830,612,495,54
"0294053",831,370,472,25
"0294054",832,807,943,81
"0294055",833,434,277,52
"0294056",834,747,688,65
"0294057",835,745,333,32
"0294058",836,591,330,51
"0294059",837,567,527,45
"0294060",838,366,482,42
"0294061",839,273,534,36
"0294062",840,95,188,12
"0294063",841,136,205,12
"0294064",842,516,529,37
"0294065",843,398,1029,67
"0294066",844,518,887,76
"0294067",845,321,380,22
"0294068",846,71,130,13
"0294069",847,377,182,31
"0294070",848,424,1008,47
"0294071",849,702,138,51
"0294072",850,1153,390,73
"0294073",851,380,302,40
"0294074",852,466,368,37
"0294075",853,50,232,11
"0294076",854,351,750,39
"0294077",855,458,752,49
"0294078",856,520,142,30
"0294079",857,412,284,49
"0294080",858,299,551,37
"0294081",859,109,72,11
"0294082",860,89,502,18
"0294083",861,143,179,15
"0294084",862,45,124,6
"0294085",863,10,1,0
"0294086",864,131,79,10
"0294087",865,413,583,35
"0294088",866,540,993,62
"0294089",867,646,691,51
"0294090",868,465,479,53
"0294091",869,188,316,28
"0294092",870,528,360,25
"0294093",871,544,582,63
"0294094",872,465,423,41
"0294095",873,422,403,43
"0294096",874,393,576,43
"0294097",875,383,410,39
"0294098",876,364,397,42
"0294099",877,217,312,24
"0294100",878,195,254,19
"0294101",879,280,176,28
"0294102",880,87,195,21
"0294103",881,0,0,0
"0294104",882,394,428,39
"0294105",883,563,417,46
"0294106",884,48,107,8
"0294107",885,387,358,15
"0294108",886,708,774,95
"0294109",887,149,220,15
"0294110",888,155,423,28
"0294111",889,9,106,2
"0294112",890,350,181,19
"0294113",891,53,243,6
"0294114",892,13,10,0
"0294115",893,61,44,5
"0294116",894,17,12,1
"0294117",895,159,141,16
"0294118",896,40,6,1
"0294119",897,95,226,12
"0294120",898,31,51,2
"0294121",899,58,29,6
"0294122",900,14,34,3
"0294123",901,19,51,3
"0294124",902,175,555,24
"0294125",903,10,22,1
"0294126",904,427,248,25
"0294127",905,11,10,0
"0294128",906,33,57,6
"0294129",907,31,14,2
"0294130",908,157,185,18
"0294131",909,56,94,4
"0294132",910,415,664,36
"0294133",911,15,1,1
"0294134",912,2,2,0
"0294135",913,0,0,0
"0294136",914,118,58,10
"0294137",915,49,6,1
"0294138",916,2,2,0
"0294139",917,0,0,0
"0294140",918,0,0,0
"0294141",919,15,76,2
"0294142",920,35,186,7
"0294143",921,405,1082,50
"0294144",922,191,86,20
"0294145",923,3,2,1
"0294146",924,6,10,1
"0294147",925,60,77,13
"0294148",926,37,45,7
"0294149",927,65,97,7
"0294150",928,253,464,19
"0294151",929,223,46,23
"0294152",930,370,482,40
"0294153",931,25,24,3
"0294154",932,156,189,13
"0294155",933,300,991,57
"0294156",934,122,312,10
"0294157",935,174,609,42
"0294158",936,79,149,15
"0294159",937,4,3,0
"0294160",938,202,500,30
"0294161",939,18,182,7
"0294162",940,493,518,44
"0294163",941,326,608,47
"0294164",942,791,449,46
"0294165",943,37,16,1
"0294166",944,41,68,9
"0294167",945,5,7,1
"0294168",946,295,588,40
"0294169",947,117,71,6
"0294170",948,57,98,12
"0294171",949,359,300,32
"0294172",950,287,263,22
"0294173",951,433,392,40
"0294174",952,250,339,26
"0294175",953,0,0,0
"0294176",954,320,220,16
"0294177",955,0,18,0
"0294178",956,0,2,0
"0294179",957,767,691,88
"0294180",958,2,0,0
"0294181",959,0,0,0
"0294182",960,1,0,0
"0294183",961,13,39,3
"0294184",962,1,9,0
"0294185",963,2,0,0
"0294186",964,18,39,2
"0294187",965,0,0,0
"0294188",966,0,1,0
"0294189",967,100,249,14
"0294190",968,0,2,0
"0294191",969,0,0,0
"0294192",970,0,0,0
"0294193",971,6,12,1
"0294194",972,129,150,23
"0294195",973,0,0,0
"0294196",974,0,0,0
"0294197",975,1,4,0
"0294198",976,207,487,36
"0294199",977,179,293,26
"0294200",978,407,768,44
"0294201",979,6,3,0
"0294202",980,0,0,0
"0294203",981,41,137,10
"0294204",982,1,2,0
"0294205",983,29,25,4
"0294206",984,90,114,3
"0294207",985,10,2,1
"0294208",986,0,0,0
"0294209",987,23,4,0
"0294210",988,1,4,1
"0294211",989,1,19,0
"0294212",990,2,0,0
"0294213",991,0,1,0
"0310102",992,1027,304,62
"0310201",993,1074,331,68
"0310302",994,530,233,37
"0310303",995,280,74,15
"0310304",996,129,53,11
"0310401",997,1072,387,66
"0330004A",998,50,4,0
"0330004B",999,28,2,1
"033001A",1000,33,4,1
"033001B",1001,50,3,2
"033002AA",1002,53,4,3
"033002AB",1003,13,1,0
"033002B",1004,26,3,0
"033003A",1005,14,1,0
"033003B",1006,33,1,0
"0350001",1007,360,54,18
"0350002",1008,343,95,14
"0350003",1009,506,89,26
"0350004",1010,261,34,6
"0350005",1011,671,168,35
"0350006",1012,585,114,30
"0350007",1013,356,55,22
"0350008A",1014,1079,220,50
"0350008B",1015,1,0,0
"0350009",1016,443,98,15
"0350010",1017,626,129,36
"0350011",1018,416,74,19
"0370007",1019,1233,632,39
"0370009",1020,868,405,25
"0370010",1021,926,194,29
"0370011",1022,1200,174,47
"0370012",1023,1070,178,43
"0370013",1024,67,18,2
"0370014",1025,1105,434,45
"0370015",1026,267,32,10
"0370016",1027,614,87,34
"0370017",1028,740,116,25
"0370018",1029,996,198,48
"0370019",1030,397,26,5
"037001A",1031,59,365,10
"037001B",1032,128,352,7
"0370020",1033,208,114,7
"0370021",1034,118,23,3
"0370022",1035,158,33,8
"0370024",1036,246,47,8
"0370025",1037,554,109,18
"0370027",1038,325,21,13
"0370028",1039,389,25,18
"0370029",1040,155,19,10
"037002A",1041,124,339,8
"037002B",1042,74,98,5
"037002C",1043,70,375,6
"037002D",1044,12,17,1
"0370030",1045,557,153,21
"037003A",1046,500,239,24
"037003B",1047,143,207,13
"037004A",1048,161,219,11
"037004B",1049,537,273,34
"037004C",1050,101,139,7
"037004D",1051,6,8,0
"037004E",1052,0,0,0
"037005A",1053,44,57,1
"037005B",1054,0,0,0
"037005C",1055,1951,500,61
"037006A",1056,897,281,25
