CNTYVTD,VTDKEY,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0291037",282,255,648
"0291038",283,401,842
"0291039",284,174,658
"0291040",285,179,777
"0291041",286,136,562
"0291042",287,83,342
"0291043",288,203,397
"0291044",289,189,695
"0291045",290,274,1009
"0291046",291,152,665
"0291047",292,138,480
"0291048",293,196,640
"0291049",294,243,697
"0291050",295,167,423
"0291051",296,282,536
"0291052",297,223,551
"0291053",298,23,67
"0291054",299,222,711
"0291055",300,368,643
"0291056",301,391,766
"0291057",302,415,453
"0291058",303,466,534
"0291059",304,51,86
"0291060",305,189,819
"0291061",306,170,678
"0291062",307,33,28
"0291063",308,373,371
"0291064A",309,233,265
"0291064B",310,0,0
"0291065",311,425,507
"0291066",312,97,188
"0291067",313,769,541
"0291068",314,227,300
"0291069",315,138,146
"0291070",316,143,279
"0291071",317,298,564
"0291072",318,233,617
"0291073",319,772,1048
"0291074",320,4,5
"0291075",321,163,546
"0291076",322,440,812
"0291077",323,121,549
"0291078",324,31,171
"0291079",325,387,752
"0291080",326,436,1332
"0291081",327,604,251
"0291082",328,652,1277
"0291083",329,596,889
"0291084",330,224,505
"0291085",331,171,457
"0291086",332,347,720
"0291087",333,163,412
"0291088",334,69,268
"0291089",335,277,378
"0291090",336,0,0
"0291091",337,270,685
"0291092",338,70,244
"0291093",339,180,259
"0291094",340,228,529
"0291095",341,35,47
"0291096",342,2,7
"0291097",343,79,237
"0291098",344,55,269
"0291099",345,482,941
"0291100",346,476,830
"0291101",347,0,0
"0291102",348,237,180
"0291103",349,128,107
"0291104",350,648,1026
"0291105",351,80,155
"0291106",352,0,0
"0291107",353,448,656
"0291108",354,1169,1372
"0291109",355,2,1
"0291110",356,459,736
"0291111",357,950,1457
"0291112",358,554,1312
"0291113",359,509,869
"0291114",360,0,0
"0291115",361,38,52
"0291116",362,289,296
"0291117",363,56,97
"0291118",364,586,654
"0291119",365,10,34
"0291120",366,5,34
"0291121",367,692,880
"0291122",368,1296,1413
"0291123",369,116,131
"0291124",370,99,188
"0291125",371,538,655
"0291126",372,0,0
"0291127",373,48,169
"0291128",374,204,351
"0291129",375,210,331
"0291130",376,0,0
"0291131",377,0,0
"0291132",378,0,2
"0291133",379,1,0
"0291134",380,0,0
"0291135",381,0,0
"0291136",382,57,78
"0291137",383,0,0
"0291138",384,54,163
"0291139",385,114,264
"0291140",386,197,353
"0291141",387,325,485
"0291142",388,209,494
"0291143",389,663,764
"0291144",390,1277,757
"0291145",391,77,50
"0291146",392,41,33
"0291147",393,395,766
"0291148",394,60,120
"0291149",395,331,647
"0291150",396,383,610
"0291151",397,311,395
"0292001",398,35,206
"0292002",399,74,357
"0292003",400,91,569
"0292004",401,143,753
"0292005",402,87,356
"0292006",403,0,5
"0292007",404,102,491
"0292008",405,59,295
"0292009",406,228,591
"0292010",407,273,410
"0292011",408,116,568
"0292012",409,70,400
"0292013",410,117,388
"0292014",411,120,395
"0292015",412,85,477
"0292016",413,39,332
"0292017",414,51,282
"0292018",415,106,427
"0292019",416,84,455
"0292020",417,90,714
"0292021",418,168,737
"0292022",419,89,420
"0292023",420,255,992
"0292024",421,180,540
"0292025",422,242,865
"0292026",423,330,754
"0292027",424,212,498
"0292028",425,375,862
"0292029",426,79,343
"0292030",427,89,408
"0292031",428,69,424
"0292032",429,34,165
"0292033",430,44,169
"0292034",431,56,211
"0292035",432,205,634
"0292036",433,418,682
"0292037",434,425,427
"0292038",435,311,511
"0292039A",436,134,554
"0292039B",437,0,0
"0292040",438,292,799
"0292041",439,288,942
"0292042",440,107,473
"0292043",441,123,560
"0292044",442,181,598
"0292045",443,265,908
"0292046",444,316,886
"0292047",445,262,628
"0292048",446,119,530
"0292049",447,335,877
"0292050",448,254,613
"0292051",449,89,173
"0292052",450,72,316
"0292053",451,102,404
"0292054",452,220,884
"0292055",453,296,965
"0292056",454,147,461
"0292057",455,199,653
"0292058",456,246,657
"0292059",457,229,671
"0292060",458,165,460
"0292061",459,213,336
"0292062",460,194,379
"0292063",461,732,415
"0292064",462,387,744
"0292065",463,672,1318
"0292066",464,1082,1115
"0292067",465,34,130
"0292068",466,1007,1226
"0292069",467,457,896
"0292070",468,105,580
"0292071",469,45,188
"0292072",470,660,974
"0292073",471,147,375
"0292074",472,63,241
"0292075",473,44,285
"0292076",474,575,702
"0292077",475,582,705
"0292078",476,407,728
"0292079",477,25,182
"0292080",478,166,412
"0292081",479,127,282
"0292082",480,192,470
"0292083",481,87,305
"0292084",482,1179,901
"0292085",483,168,469
"0292086",484,738,983
"0292087",485,543,512
"0292088",486,692,1241
"0292089",487,28,125
"0292090",488,215,585
"0292091",489,360,921
"0292092",490,90,128
"0292093",491,195,322
"0292094",492,79,43
"0292095",493,836,484
"0292096",494,274,708
"0292097",495,410,777
"0292098",496,197,393
"0292099",497,403,485
"0292100",498,199,377
"0292101",499,441,350
"0292102",500,615,804
"0292103",501,12,88
"0292104",502,16,85
"0292105",503,36,182
"0292106",504,72,151
"0292107",505,544,835
"0292108",506,372,327
"0292109",507,0,3
"0292110",508,247,352
"0292111",509,180,334
"0292112",510,373,543
"0292113",511,12,22
"0292114",512,320,678
"0292115",513,1182,1110
"0292116",514,0,2
"0292117",515,41,201
"0292118",516,0,13
"0292119",517,64,160
"0292120",518,234,292
"0292121",519,86,132
"0292122",520,157,520
"0292123",521,558,518
"0292124",522,181,242
"0292125",523,327,423
"0292126",524,243,393
"0292127",525,600,778
"0292128",526,139,611
"0292129",527,1,2
"0292130",528,423,677
"0292131",529,64,117
"0292132",530,0,1
"0292133",531,82,102
"0292134",532,154,371
"0292135",533,71,206
"0292136",534,924,1166
"0292137",535,199,347
"0292138",536,183,293
"0292139",537,463,560
"0292140",538,227,473
"0292141",539,294,435
"0292142",540,72,174
"0292143",541,480,578
"0292144",542,347,671
"0292145",543,86,120
"0292146",544,8,27
"0292147",545,83,147
"0292148",546,645,1294
"0292149",547,249,584
"0292150",548,0,3
"0292151",549,2,7
"0292152",550,51,208
"0292153",551,54,104
"0292154",552,910,1160
"0292155",553,1,0
"0292156",554,169,408
"0292157",555,0,0
"0292158",556,0,0
"0292159",557,39,65
"0292160",558,0,1
"0293001",559,1051,786
"0293002",560,654,661
"0293003",561,20,21
"0293004",562,0,1
"0293005",563,990,424
"0293006",564,376,326
"0293007",565,822,727
"0293008",566,44,17
"0293009",567,9,2
"0293010",568,101,173
"0293011",569,366,321
"0293012",570,465,180
"0293013",571,475,603
"0293014",572,158,158
"0293015",573,96,110
"0293016",574,65,60
"0293017",575,1185,420
"0293018",576,750,492
"0293019",577,111,210
"0293020",578,927,832
"0293021",579,1311,427
"0293022",580,580,481
"0293023",581,558,804
"0293024",582,0,0
"0293025",583,679,476
"0293026",584,662,388
"0293027",585,571,387
"0293028",586,592,520
"0293029",587,357,376
"0293030",588,917,542
"0293031",589,6,9
"0293032",590,391,709
"0293033",591,929,424
"0293034",592,1487,344
"0293035",593,221,254
"0293036",594,729,1267
"0293037",595,742,874
"0293038",596,392,384
"0293039",597,1522,818
"0293040",598,640,624
"0293041",599,209,151
"0293042",600,801,499
"0293043",601,1149,501
"0293044",602,490,426
"0293045",603,678,323
"0293046",604,544,426
"0293047",605,686,559
"0293048",606,533,514
"0293049",607,909,564
"0293050",608,410,283
"0293051",609,163,89
"0293052",610,1497,1139
"0293053",611,681,458
"0293054",612,404,558
"0293055",613,1361,424
"0293056",614,364,625
"0293057",615,212,160
"0293058",616,655,1032
"0293059",617,537,424
"0293060",618,556,580
"0293061",619,455,570
"0293062",620,14,12
"0293063",621,597,600
"0293064",622,129,148
"0293065",623,10,26
"0293066",624,618,585
"0293067",625,569,454
"0293068",626,369,844
"0293069",627,1049,964
"0293070",628,963,735
"0293071",629,605,802
"0293072",630,1348,894
"0293073",631,486,488
"0293074",632,927,746
"0293075",633,1447,657
"0293076",634,646,329
"0293077",635,895,719
"0293078",636,1011,748
"0293079",637,1192,832
"0293080",638,403,292
"0293081",639,712,640
"0293082",640,695,662
"0293083",641,561,399
"0293084",642,955,835
"0293085",643,408,348
"0293086A",644,662,500
"0293086B",645,0,0
"0293087",646,553,364
"0293088",647,1157,776
"0293089",648,1997,785
"0293090",649,1016,791
"0293091",650,454,138
"0293092",651,1368,527
"0293093",652,1694,1043
"0293094",653,1267,773
"0293095",654,448,852
"0293096",655,1236,832
"0293097",656,4,0
"0293098",657,438,360
"0293099",658,1034,915
"0293100",659,825,849
"0293101",660,844,696
"0293102",661,1185,754
"0293103",662,152,202
"0293104",663,983,659
"0293105",664,929,811
"0293106A",665,705,375
"0293106B",666,0,0
"0293107",667,311,545
"0293108",668,634,350
"0293109",669,613,891
"0293110",670,845,849
"0293111",671,0,2
"0293112",672,267,490
"0293113",673,168,354
"0293114",674,1069,453
"0293115",675,805,504
"0293116",676,400,504
"0293117",677,1161,803
"0293118",678,297,276
"0293119",679,1034,1076
"0293120",680,872,927
"0293121",681,1348,1102
"0293122",682,744,595
"0293123",683,209,119
"0293124",684,1023,771
"0293125A",685,1251,751
"0293125B",686,3,1
"0293126",687,630,386
"0293127",688,863,1043
"0293128",689,26,21
"0293129",690,740,1037
"0293130",691,823,380
"0293131",692,0,3
"0293132",693,230,416
"0293133",694,0,0
"0293134",695,417,1057
"0293135",696,235,292
"0293136",697,157,159
"0293137",698,1363,1067
"0293138",699,30,7
"0293139",700,324,446
"0293140",701,85,146
